book,variant,total_net,cagr,sharpe,max_dd,cost_drag_ann,excess_vs_naive
vol_managed_qqq,base,12.5916,0.254912,1.00674,-0.351915,0.00151,5.942246
vol_managed_qqq,half_costs,12.710785,0.255866,1.009724,-0.351562,0.000755,6.061431
vol_managed_qqq,doubled,12.356323,0.253007,1.000774,-0.35262,0.00302,5.706968
vol_managed_qqq,quadrupled,11.897891,0.249204,0.988844,-0.354028,0.00604,5.248536
vol_managed_qqq,vol_stressed,12.515294,0.254298,1.004721,-0.352665,0.001987,5.865939
vol_managed_qqq,delay1,11.954838,0.249683,0.985436,-0.345888,0.00151,5.305483
vol_managed_qqq,delay2,11.714737,0.247651,0.971069,-0.342368,0.00151,5.065383
vol_managed_qqq,partial50,12.328092,0.252776,0.994627,-0.348201,0.001276,5.678737
vol_managed_qqq,missed10_mean,12.644907,0.255329,1.0076,-0.350476,0.001483,5.995552
vol_managed_qqq,missed10_worst,12.423003,0.25355,1.002141,-0.35387,0.001496,5.773648
vol_core_svxy,base,17.820328,0.290963,1.065719,-0.337639,0.003773,11.170973
vol_core_svxy,half_costs,18.234601,0.293411,1.072689,-0.336812,0.001886,11.585247
vol_core_svxy,doubled,17.018317,0.28608,1.051783,-0.33929,0.007546,10.368962
vol_core_svxy,quadrupled,15.515227,0.276369,1.023923,-0.34258,0.015092,8.865872
vol_core_svxy,vol_stressed,17.611831,0.289712,1.06199,-0.339471,0.004721,10.962476
vol_core_svxy,delay1,16.992799,0.285921,1.044655,-0.349899,0.003773,10.343444
vol_core_svxy,delay2,13.948982,0.26535,0.971642,-0.35128,0.003773,7.299627
vol_core_svxy,partial50,16.682705,0.283978,1.039224,-0.342286,0.002584,10.03335
vol_core_svxy,missed10_mean,18.261578,0.293511,1.07285,-0.336815,0.003576,11.612223
vol_core_svxy,missed10_worst,17.438738,0.288664,1.057915,-0.339866,0.003594,10.789383
trend_vol_qqq,base,9.010098,0.221954,0.978784,-0.3088,0.002165,2.360743
trend_vol_qqq,half_costs,9.137119,0.223295,0.983697,-0.307,0.001083,2.487764
trend_vol_qqq,doubled,8.76077,0.219275,0.968958,-0.312391,0.00433,2.111416
trend_vol_qqq,quadrupled,8.280438,0.213932,0.949317,-0.319524,0.008661,1.631083
trend_vol_qqq,vol_stressed,8.892928,0.220702,0.973836,-0.310505,0.003148,2.243573
trend_vol_qqq,delay1,8.41381,0.215441,0.946818,-0.398655,0.002165,1.764455
trend_vol_qqq,delay2,8.027888,0.211021,0.921934,-0.42114,0.002165,1.378533
trend_vol_qqq,partial50,8.596673,0.217477,0.958563,-0.354717,0.001888,1.947318
trend_vol_qqq,missed10_mean,9.017369,0.22198,0.97784,-0.310654,0.002131,2.368014
trend_vol_qqq,missed10_worst,8.594033,0.217448,0.960298,-0.320409,0.002154,1.944679
defensive_ensemble,base,3.034995,0.129064,0.89008,-0.251132,0.002365,1.24487
defensive_ensemble,half_costs,3.090244,0.1304,0.898071,-0.249265,0.001183,1.30012
defensive_ensemble,doubled,2.926711,0.126394,0.87409,-0.254853,0.00473,1.136586
defensive_ensemble,quadrupled,2.718727,0.121073,0.842074,-0.262243,0.00946,0.928603
defensive_ensemble,vol_stressed,2.999487,0.128195,0.884643,-0.252265,0.003126,1.209362
defensive_ensemble,delay1,2.92951,0.126464,0.864194,-0.297462,0.002365,1.139385
defensive_ensemble,delay2,2.883962,0.125322,0.849348,-0.308869,0.002365,1.093837
defensive_ensemble,partial50,2.93239,0.126536,0.871161,-0.276447,0.002103,1.142266
defensive_ensemble,missed10_mean,2.991421,0.127979,0.882321,-0.255848,0.002337,1.201296
defensive_ensemble,missed10_worst,2.905275,0.125858,0.869934,-0.266983,0.002343,1.115151
dual_momentum_gold,base,7.653494,0.206566,0.785464,-0.408753,0.001479,4.206823
dual_momentum_gold,half_costs,7.727541,0.207461,0.787991,-0.408753,0.00074,4.28087
dual_momentum_gold,doubled,7.507218,0.204778,0.780405,-0.408753,0.002959,4.060547
dual_momentum_gold,quadrupled,7.2218,0.201205,0.770266,-0.408753,0.005917,3.775129
dual_momentum_gold,vol_stressed,7.585181,0.205734,0.783064,-0.408753,0.002158,4.13851
dual_momentum_gold,delay1,7.55241,0.205333,0.780908,-0.408753,0.001479,4.105739
dual_momentum_gold,delay2,7.343273,0.202739,0.773483,-0.408753,0.001479,3.896602
dual_momentum_gold,partial50,7.710214,0.207252,0.788984,-0.408753,0.001479,4.263543
dual_momentum_gold,missed10_mean,7.449627,0.20398,0.777836,-0.408753,0.001479,4.002956
dual_momentum_gold,missed10_worst,6.82521,0.196049,0.75492,-0.408753,0.001479,3.378539
momentum_concentrated,base,2.162038,0.105364,0.568523,-0.309862,0.013504,-1.284633
momentum_concentrated,half_costs,2.417559,0.112864,0.599589,-0.309239,0.006752,-1.029112
momentum_concentrated,doubled,1.706813,0.090513,0.506419,-0.328178,0.027007,-1.739858
momentum_concentrated,quadrupled,0.983339,0.061398,0.382357,-0.365517,0.054014,-2.463332
momentum_concentrated,vol_stressed,2.070664,0.102547,0.556662,-0.31185,0.01603,-1.376006
momentum_concentrated,delay1,2.115027,0.103924,0.559977,-0.328013,0.0135,-1.331644
momentum_concentrated,delay2,1.86786,0.096012,0.524977,-0.339205,0.0135,-1.578811
momentum_concentrated,partial50,2.142975,0.104783,0.563797,-0.320404,0.011719,-1.303696
momentum_concentrated,missed10_mean,2.144021,0.104812,0.56584,-0.311054,0.013351,-1.30265
momentum_concentrated,missed10_worst,2.095075,0.103307,0.55901,-0.316974,0.01338,-1.351596
dual_momentum_gem,base,9.458968,0.226627,0.837788,-0.408753,0.001253,6.012297
dual_momentum_gem,half_costs,9.534608,0.227396,0.839909,-0.408753,0.000627,6.087938
dual_momentum_gem,doubled,9.309248,0.225089,0.83354,-0.408753,0.002506,5.862577
dual_momentum_gem,quadrupled,9.015956,0.222016,0.825026,-0.408753,0.005012,5.569285
dual_momentum_gem,vol_stressed,9.413247,0.226159,0.836513,-0.408753,0.001636,5.966576
dual_momentum_gem,delay1,10.011567,0.232135,0.852191,-0.408753,0.001253,6.564896
dual_momentum_gem,delay2,9.842706,0.230479,0.846513,-0.408753,0.001253,6.396035
dual_momentum_gem,partial50,9.846677,0.230518,0.848879,-0.408753,0.001253,6.400006
dual_momentum_gem,missed10_mean,9.356941,0.225579,0.834812,-0.408753,0.001253,5.91027
dual_momentum_gem,missed10_worst,9.275023,0.224734,0.832473,-0.408753,0.001253,5.828352
