book,window,total_log_net,total_rel,top5_share,top10_share,top20_share,rel_top5,rel_top10,k_flip_rel,best_month_share,hhi_pos_months,yearly_log_net,yearly_rel
vol_managed_qqq,W1,0.3543,0.1124,0.53,0.96,1.61,0.1382,0.2085,4,0.46,0.195,"{2025: 0.1626, 2026: 0.1916}","{2025: 0.0683, 2026: 0.0441}"
vol_managed_qqq,W2,1.0457,0.3763,0.26,0.45,0.8,0.1449,0.2398,19,0.15,0.039,"{2021: 0.1359, 2022: -0.3683, 2023: 0.5827, 2024: 0.3, 2025: 0.2037, 2026: 0.1916}","{2021: 0.0469, 2022: 0.0093, 2023: 0.1604, 2024: 0.0939, 2025: 0.0217, 2026: 0.0441}"
vol_core_svxy,W1,0.3083,0.0715,0.63,1.15,1.92,0.0798,0.1371,5,0.53,0.215,"{2025: 0.1746, 2026: 0.1336}","{2025: 0.0795, 2026: -0.008}"
vol_core_svxy,W2,1.0864,0.4358,0.27,0.47,0.8,0.1075,0.1929,28,0.16,0.039,"{2021: 0.1514, 2022: -0.341, 2023: 0.6239, 2024: 0.3119, 2025: 0.2067, 2026: 0.1336}","{2021: 0.0606, 2022: 0.0473, 2023: 0.2055, 2024: 0.1024, 2025: 0.028, 2026: -0.008}"
trend_vol_qqq,W1,0.302,0.0564,0.59,1.03,1.76,0.1449,0.236,2,0.38,0.194,"{2025: 0.1626, 2026: 0.1394}","{2025: 0.0683, 2026: -0.0118}"
trend_vol_qqq,W2,1.1022,0.3858,0.2,0.37,0.68,0.2706,0.4936,8,0.12,0.046,"{2021: 0.1359, 2022: -0.1192, 2023: 0.4695, 2024: 0.3, 2025: 0.1766, 2026: 0.1394}","{2021: 0.0469, 2022: 0.2257, 2023: 0.045, 2024: 0.0939, 2025: -0.0139, 2026: -0.0118}"
defensive_ensemble,W1,0.3486,0.2263,0.37,0.67,1.11,0.0896,0.1579,16,0.26,0.137,"{2025: 0.2059, 2026: 0.1427}","{2025: 0.1468, 2026: 0.0795}"
defensive_ensemble,W2,0.9067,0.4807,0.18,0.32,0.55,0.127,0.2345,24,0.1,0.037,"{2021: 0.0777, 2022: 0.0045, 2023: 0.1081, 2024: 0.201, 2025: 0.3728, 2026: 0.1427}","{2021: 0.0271, 2022: 0.1039, 2023: -0.0458, 2024: 0.0564, 2025: 0.2597, 2026: 0.0795}"
dual_momentum_gold,W1,0.5561,0.4453,0.56,0.98,1.65,0.3596,0.5776,7,0.3,0.153,"{2025: 0.3793, 2026: 0.1768}","{2025: 0.3075, 2026: 0.1377}"
dual_momentum_gold,W2,1.2768,0.7855,0.24,0.44,0.77,0.4026,0.6823,13,0.13,0.042,"{2021: 0.1063, 2022: -0.2941, 2023: 0.1508, 2024: 0.4131, 2025: 0.724, 2026: 0.1768}","{2021: 0.0205, 2022: -0.1006, 2023: -0.07, 2024: 0.2106, 2025: 0.5874, 2026: 0.1377}"
dual_momentum_gem,W1,0.461,0.3009,0.49,0.88,1.51,0.146,0.2581,13,0.47,0.183,"{2025: 0.1352, 2026: 0.3257}","{2025: 0.0533, 2026: 0.2476}"
dual_momentum_gem,W2,0.8254,0.3273,0.4,0.67,1.13,0.2297,0.4008,8,0.26,0.044,"{2021: 0.1063, 2022: -0.3553, 2023: 0.2583, 2024: 0.2855, 2025: 0.2049, 2026: 0.3257}","{2021: 0.0205, 2022: -0.1435, 2023: 0.0408, 2024: 0.0902, 2025: 0.0718, 2026: 0.2476}"
momentum_concentrated,W1,0.3034,0.1438,0.73,1.29,2.19,0.2042,0.325,4,0.39,0.168,"{2025: 0.0999, 2026: 0.2035}","{2025: 0.0199, 2026: 0.1239}"
momentum_concentrated,W2,0.7692,0.2111,0.31,0.55,0.97,0.2042,0.3354,6,0.18,0.043,"{2021: 0.0245, 2022: 0.0166, 2023: 0.1636, 2024: 0.2268, 2025: 0.1341, 2026: 0.2035}","{2021: -0.062, 2022: 0.2082, 2023: -0.0584, 2024: 0.0208, 2025: -0.0214, 2026: 0.1239}"
