,mean_on_worst10pct_spy_days,ann_all_days
vol_managed_qqq,-0.026136687094625764,0.24472243201504879
vol_core_svxy,-0.029163448113476303,0.26603219011909357
trend_vol_qqq,-0.01758290730241119,0.20148516870303587
defensive_ensemble,-0.009966917415580243,0.1396096075409494
dual_momentum_gold,-0.015570279818085987,0.2130041496029059
dual_momentum_gem,-0.023266122511382364,0.22600822598007042
momentum_concentrated,-0.011878600321072262,0.07717399309005596
SPY,-0.022637471588684375,0.12679483415606338
QQQ,-0.024294992970165876,0.17680989136786338
