book,est,mean_vol,t_vs_sample,p_vs_sample,sharpe_net,mean_turnover,months
long_only,sample,0.13759581833905962,,,0.7098830049760834,0.8869532311431848,138
long_only,pca1,0.11578922867485236,-10.004248985900496,5.0154134139482944e-18,0.8285231575166896,0.3615738139983715,138
long_only,pca3,0.11898327624975215,-12.529599010833413,1.7816556217850896e-24,0.8340359997672401,0.5864621072407935,138
long_only,pca5,0.11986677342284661,-13.877314705703578,6.797039109698737e-28,0.8198954229103148,0.6225596609338102,138
long_only,jse1,0.11565832769829444,-9.881612007965774,1.0254435453010166e-17,0.8298538689042191,0.3676009002464754,138
long_only,jse3,0.11878506153515477,-12.506842440968244,2.0365315025932814e-24,0.8357460962036948,0.592278217467873,138
long_only,jse5,0.11971075529185764,-13.874246914598702,6.919017504092653e-28,0.8206692428630089,0.6284836099606055,138
long_only,lw,0.13272991591946473,-6.087409597218591,1.086149355067483e-08,0.7524400429121659,0.6711111598394175,138
long_only,mp,0.12673254332447811,-12.036912115646128,3.2329186669411387e-23,0.7349126547696915,0.54672575887539,138
unconstrained,sample,0.12043387925752716,,,0.5543500860241201,2.913471936629513,138
unconstrained,pca1,0.12908854322414823,2.8974176486055763,0.0043819959175617484,0.6635783001006408,0.8058584970878927,138
unconstrained,pca3,0.11664105380499981,-1.718467124609173,0.08797042737049016,0.7938479079917423,1.7550926676767933,138
unconstrained,pca5,0.11042184827122235,-4.693781786802438,6.428429714988714e-06,0.8399568453463366,1.9684697086407608,138
unconstrained,jse1,0.13631890229280366,4.576497764043004,1.049193472285587e-05,0.6459522520933959,0.9325784315025116,138
unconstrained,jse3,0.1203266997542482,-0.042896075666322,0.9658468332103831,0.792567510513059,1.9133088960060904,138
unconstrained,jse5,0.11286849119927388,-3.189591985011692,0.0017661803576470945,0.8382529296647865,2.1225289072587517,138
unconstrained,lw,0.10604822339169982,-8.02889673227722,3.9973858636060047e-13,0.5217291136334933,2.3395813788763973,138
unconstrained,mp,0.11307916191632937,-4.319489956695989,2.982157314232137e-05,0.5587569433956655,1.507433924168096,138
