book,est,mean_vol,sharpe_net,mean_turnover,months
long_only,pca3_raw,0.11936731436414544,0.8625752758923496,0.24243762567021698,138
long_only,pca3_a25,0.1212325530871217,0.8457407780137715,0.23690505134975184,138
long_only,pca3_a50,0.12283601340908111,0.8281564823395916,0.23449858612069105,138
long_only,pca3_a75,0.1245585796986913,0.8077632582927685,0.23332172833405979,138
long_only,jse3_raw,0.11931402749463242,0.862752436941727,0.242985137826396,138
long_only,jse3_a25,0.12118664813259335,0.845857916477954,0.2375115367530778,138
long_only,jse3_a50,0.12279699913870536,0.8281930014702241,0.2351307431330659,138
long_only,jse3_a75,0.12452820990214739,0.807722876226854,0.2339952805455318,138
long_only,mp,0.13111102395001453,0.7583323479187728,0.27870090007968057,138
unconstrained,pca3_raw,0.13080328056019655,0.7942352308155083,0.9829075409961376,138
unconstrained,pca3_a25,0.12705232207556483,0.7437516308657313,0.9093032263493981,138
unconstrained,pca3_a50,0.12607310700365368,0.6914921145248584,0.872893837053174,138
unconstrained,pca3_a75,0.1263072466755052,0.6338363407535333,0.8471051910372887,138
unconstrained,jse3_raw,0.13263854484278054,0.7895440540861345,1.0080001722019896,138
unconstrained,jse3_a25,0.12855446283292377,0.7396553386814797,0.9295971985960528,138
unconstrained,jse3_a50,0.1274762475996852,0.6870587138027016,0.8917531879884891,138
unconstrained,jse3_a75,0.12770153851339291,0.6289200249019177,0.8653703497869252,138
unconstrained,mp,0.11252023333563202,0.6852202079144775,1.0926809668342374,138
